quiz_id,quiz_name,quiz_goal,course_code,open_at,close_at,first_penalty,second_penalty,second_lock
31,"Úpravy algebraických výrazů",10,"BI-PKM","2016-07-15 12:00:00 +0200","2016-09-30 12:00:00 +0200",300,1800,2
32,"Funkce a jejich vlastnosti",10,"BI-PKM","2016-07-15 12:00:00 +0200","2016-09-30 12:00:00 +0200",300,1800,2
33,"Polynomy a algebraické rovnice",10,"BI-PKM","2016-07-15 12:00:00 +0200","2016-09-30 12:00:00 +0200",300,1800,2
34,"Trigonometrické funkce a rovnice",10,"BI-PKM","2016-07-15 12:00:00 +0200","2016-09-30 12:00:00 +0200",300,1800,2
35,"Exponenciální funkce a logaritmus",10,"BI-PKM","2016-07-15 12:00:00 +0200","2016-09-30 12:00:00 +0200",300,1800,2
36,"Analytická geometrie",10,"BI-PKM","2016-07-15 12:00:00 +0200","2016-09-30 12:00:00 +0200",300,1800,2
37,"Matematická logika",10,"BI-PKM","2016-07-15 12:00:00 +0200","2016-09-30 12:00:00 +0200",300,1800,2
38,"Kombinatorika",10,"BI-PKM","2016-07-15 12:00:00 +0200","2016-09-30 12:00:00 +0200",300,1800,2
39,"Množiny",10,"BI-PKM","2016-07-15 12:00:00 +0200","2016-09-30 12:00:00 +0200",300,1800,2
40,"Týdenní test č. 1",3,"BI-AG1","2016-10-11 16:00:00 +0200","2016-10-25 23:59:00 +0200",0,300,3
41,"1. zápočtový kvíz",10,"BI-ZMA","2016-10-24 12:00:00 +0200","2016-10-31 12:00:00 +0100",300,1800,3
42,"Týdenní test č. 2",3,"BI-AG1","2016-10-25 16:00:00 +0200","2016-11-08 23:59:00 +0100",0,3600,3
44,"zápočtový kvíz č. 1",8,"MI-MPI","2016-11-01 16:00:00 +0100","2016-11-15 09:15:00 +0100",300,1800,3
45,"Týdenní test č. 3",3,"BI-AG1","2016-11-08 16:00:00 +0100","2016-11-22 23:59:00 +0100",0,3600,3
46,"2. zápočtový kvíz",10,"BI-ZMA","2016-11-21 12:00:00 +0100","2016-11-28 12:00:00 +0100",300,1800,3
47,"Týdenní test č. 4",3,"BI-AG1","2016-11-22 16:00:00 +0100","2016-12-06 23:59:00 +0100",0,3600,3
49,"Týdenní test č. 5",3,"BI-AG1","2016-12-06 16:00:00 +0100","2016-12-20 23:59:00 +0100",0,3600,3
52,"3. zápočtový kvíz",10,"BI-ZMA","2016-12-12 12:00:00 +0100","2016-12-31 12:00:00 +0100",300,1800,3
57,"Týdenní test č. 6",4,"BI-AG1","2016-12-20 16:00:00 +0100","2017-01-06 23:59:00 +0100",0,3600,3
58,"zápočtový kvíz č. 2",8,"MI-MPI","2016-12-21 12:00:00 +0100","2017-01-03 09:15:00 +0100",300,1800,3
